,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,0,24055176,26076401,34034603,22138342,22575768,28712628,11104193,21672203,19525092,18522288,30598239,32749234,24464448,35288066,32157388,28984349,30937507,27072054,27202332,PMC4781166,26947059,25394893,25156277,17589341,34241821,30151734,27449555,25894060,24079838,34589346,22123196,33036555,35661032,33296127,24588853,32327166,32620326,29723583,17605699,30889036,29499690,26666170,27201173,29035171,25595233,31420055,35284585,30123525,32532059,27535128,21442430,34611506,PMC5165280,29705225,31029552,30168440,23633030,34613597,23813295,17331237,25701084,12039694,32207707,35628914,10457737,32769596,25567068,28194505,32899383,29957147,25963381,25543115,25361836,23149196,35172585,25384503,33388917,28543165,34981127,33153990,35384261,29607666,26889733,30827751,22748284,34493264,30931484,28485315,24197481,26340940,35821173,35072904,34545110,32707556,34982262,32865107,17097988,35937255,36209211,30926057,32760304,27233355,34608623,31512524,23706520,33752468,17672906,22222445,28790226,34103979,34339154,19684867,32104124,21356059,23340995,28766084,25086443,32393320,28801413,20105304,28423480,35613132,28267634,30772862,31328085,16022059,29350345,21620747,20420719,26271493,21798958,27435415,22244683,27608718,20929552,30662281,20868240,32346816,23605258,33743582,35992595,17031907,23506164,32899598,28167875,18796263,30185221,33432635,19744296,33893889,31971014,27454614,21854643,25864998,31888706,33216261,34636444,35129644,36198246,19393841,30648651,17408984,26269397,29971880,12439115,26423857,24908173,30793414,31750786,28675514,26291444,16223659,16505981,26395498,15857744,24655542,25703448,36048234,32993248,27919593,34781978,23213082,34949616,30685064,34157999,14528528,25852835,23506803,22265072,29096686,34167871,21780179,31614836,32727498,23594806,25585993,28383700,32975086,27681572,31962340
1,index,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True
2,value,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False
3,utility,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True,True,True,False
4,utilities,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
5,score,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True
6,mobility,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,False
7,self-care,False,True,False,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False
8,usual activities,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False
9,pain,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
