Modell	LearningType	LearningRate	Total_Paramter	Trainable_Parameter	Non_Trainable_Parameter	Results	Accuracy_Loss
Bert_Uncased	AllNetworkTrain	1e-4	109 483 778	109 483 778	0	0.0001 [16, [0.3887983560562134, 0.8352941274642944], [0.48602333664894104, 0.800000011920929], [0.7043976783752441, 0.6700000166893005]]	6/6 [==============================] - 60s 10s/step - loss: 0.1452 - sparse_categorical_accuracy: 0.9529 - val_loss: 0.6697 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	1e-4	109 483 778	109 483 778	0	0.0001 [14, [0.668509304523468, 0.6117647290229797], [0.6729077696800232, 0.6000000238418579], [0.6730695366859436, 0.6000000238418579]]	6/6 [==============================] - 62s 10s/step - loss: 0.6846 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6750 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	1e-4	109 483 778	109 483 778	0	0.0001 [20, [0.11098520457744598, 0.9647058844566345], [0.3932289481163025, 0.8666666746139526], [0.7801129817962646, 0.6299999952316284]]	6/6 [==============================] - 62s 10s/step - loss: 7.9313e-04 - sparse_categorical_accuracy: 1.0000 - val_loss: 1.0172 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	1e-4	109 483 778	109 483 778	0	0.0001 [24, [0.04346337541937828, 0.9882352948188782], [0.42768293619155884, 0.800000011920929], [0.9777371287345886, 0.6299999952316284]]	6/6 [==============================] - 62s 10s/step - loss: 7.8791e-04 - sparse_categorical_accuracy: 1.0000 - val_loss: 1.1410 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	1e-4	109 483 778	109 483 778	0	0.0001 [25, [0.3326842188835144, 0.8941176533699036], [0.4433431923389435, 0.8666666746139526], [0.8003582954406738, 0.6499999761581421]]	6/6 [==============================] - 62s 10s/step - loss: 0.1562 - sparse_categorical_accuracy: 0.9647 - val_loss: 1.0045 - val_sparse_categorical_accuracy: 0.7333
Bert_Uncased	AllNetworkTrain	2e-4	109 483 778	109 483 778	0	0.0002 [15, [0.6680124402046204, 0.6117647290229797], [0.6725254058837891, 0.6000000238418579], [0.6728904247283936, 0.6000000238418579]]	6/6 [==============================] - 61s 10s/step - loss: 0.6747 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6782 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	2e-4	109 483 778	109 483 778	0	0.0002 [12, [0.6686482429504395, 0.6117647290229797], [0.6703627109527588, 0.6000000238418579], [0.6726331114768982, 0.6000000238418579]]	6/6 [==============================] - 61s 10s/step - loss: 0.6933 - sparse_categorical_accuracy: 0.6235 - val_loss: 0.6730 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	2e-4	109 483 778	109 483 778	0	0.0002 [18, [0.611142098903656, 0.6117647290229797], [0.636536180973053, 0.6000000238418579], [0.6841033101081848, 0.6000000238418579]]	6/6 [==============================] - 61s 10s/step - loss: 0.6815 - sparse_categorical_accuracy: 0.5882 - val_loss: 0.6790 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	2e-4	109 483 778	109 483 778	0	0.0002 [11, [0.6701340079307556, 0.6117647290229797], [0.6694200038909912, 0.6000000238418579], [0.6816368103027344, 0.6000000238418579]]	6/6 [==============================] - 61s 10s/step - loss: 0.6776 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6758 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	2e-4	109 483 778	109 483 778	0	0.0002 [16, [0.6682756543159485, 0.6117647290229797], [0.672869086265564, 0.6000000238418579], [0.6729751825332642, 0.6000000238418579]]	6/6 [==============================] - 61s 10s/step - loss: 0.6962 - sparse_categorical_accuracy: 0.5882 - val_loss: 0.6730 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	5e-4	109 483 778	109 483 778	0	0.0005 [16, [0.6680144667625427, 0.6117647290229797], [0.6730957627296448, 0.6000000238418579], [0.6730954051017761, 0.6000000238418579]]	6/6 [==============================] - 60s 10s/step - loss: 0.6876 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6734 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	5e-4	109 483 778	109 483 778	0	0.0005 [12, [0.6679720878601074, 0.6117647290229797], [0.6731694936752319, 0.6000000238418579], [0.6731696128845215, 0.6000000238418579]]	6/6 [==============================] - 60s 10s/step - loss: 0.6669 - sparse_categorical_accuracy: 0.6000 - val_loss: 0.6893 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	5e-4	109 483 778	109 483 778	0	0.0005 [24, [0.6683868169784546, 0.6117647290229797], [0.6730263829231262, 0.6000000238418579], [0.673026442527771, 0.6000000238418579]]	6/6 [==============================] - 60s 10s/step - loss: 0.6855 - sparse_categorical_accuracy: 0.5882 - val_loss: 0.6734 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	5e-4	109 483 778	109 483 778	0	0.0005 [36, [0.6682862043380737, 0.6117647290229797], [0.67301344871521, 0.6000000238418579], [0.6730133295059204, 0.6000000238418579]]	6/6 [==============================] - 60s 10s/step - loss: 0.7020 - sparse_categorical_accuracy: 0.5765 - val_loss: 0.6812 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	5e-4	109 483 778	109 483 778	0	0.0005 [13, [0.6680678129196167, 0.6117647290229797], [0.6730508208274841, 0.6000000238418579], [0.6730509996414185, 0.6000000238418579]]	6/6 [==============================] - 61s 10s/step - loss: 0.6866 - sparse_categorical_accuracy: 0.5529 - val_loss: 0.6746 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	AllNetworkTrain	1e-5	109 483 778	109 483 778	0	1e-05 [21, [0.14473119378089905, 0.9882352948188782], [0.37250009179115295, 0.8666666746139526], [0.7991798520088196, 0.6700000166893005]]	6/6 [==============================] - 62s 10s/step - loss: 0.0403 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4421 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	1e-5	109 483 778	109 483 778	0	1e-05 [25, [0.04253710061311722, 1.0], [0.3406677842140198, 0.9333333373069763], [0.8687219023704529, 0.6299999952316284]]	6/6 [==============================] - 60s 10s/step - loss: 0.0159 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.5458 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	1e-5	109 483 778	109 483 778	0	1e-05 [23, [0.09149904549121857, 1.0], [0.3693639636039734, 0.9333333373069763], [0.7989096641540527, 0.6499999761581421]]	6/6 [==============================] - 59s 10s/step - loss: 0.0468 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.3802 - val_sparse_categorical_accuracy: 0.8667
